"location","activity","date","change","value","source"
"Greater London","Workplaces",2020-02-27,0,100,"Google"
"Greater London","Residential",2020-02-27,1,101,"Google"
"Greater London","Workplaces",2020-02-28,0,100,"Google"
"Greater London","Residential",2020-02-28,1,101,"Google"
"Greater London","Workplaces",2020-02-29,0,100,"Google"
"Greater London","Residential",2020-02-29,1,101,"Google"
"Greater London","Workplaces",2020-03-01,1,101,"Google"
"Greater London","Residential",2020-03-01,-1,99,"Google"
"Greater London","Workplaces",2020-03-02,1,101,"Google"
"Greater London","Residential",2020-03-02,0,100,"Google"
"Greater London","Workplaces",2020-03-03,1,101,"Google"
"Greater London","Residential",2020-03-03,0,100,"Google"
"Greater London","Workplaces",2020-03-04,0,100,"Google"
"Greater London","Residential",2020-03-04,1,101,"Google"
"Greater London","Workplaces",2020-03-05,-1,99,"Google"
"Greater London","Residential",2020-03-05,2,102,"Google"
"Greater London","Workplaces",2020-03-06,0,100,"Google"
"Greater London","Residential",2020-03-06,1,101,"Google"
"Greater London","Workplaces",2020-03-07,1,101,"Google"
"Greater London","Residential",2020-03-07,0,100,"Google"
"Greater London","Workplaces",2020-03-08,0,100,"Google"
"Greater London","Residential",2020-03-08,0,100,"Google"
"Greater London","Workplaces",2020-03-09,-1,99,"Google"
"Greater London","Residential",2020-03-09,1,101,"Google"
"Greater London","Workplaces",2020-03-10,-2,98,"Google"
"Greater London","Residential",2020-03-10,2,102,"Google"
"Greater London","Workplaces",2020-03-11,-3,97,"Google"
"Greater London","Residential",2020-03-11,2,102,"Google"
"Greater London","Workplaces",2020-03-12,-5,95,"Google"
"Greater London","Residential",2020-03-12,3,103,"Google"
"Greater London","Workplaces",2020-03-13,-9,91,"Google"
"Greater London","Residential",2020-03-13,5,105,"Google"
"Greater London","Workplaces",2020-03-14,-4,96,"Google"
"Greater London","Residential",2020-03-14,4,104,"Google"
"Greater London","Workplaces",2020-03-15,-7,93,"Google"
"Greater London","Residential",2020-03-15,4,104,"Google"
"Greater London","Workplaces",2020-03-16,-18,82,"Google"
"Greater London","Residential",2020-03-16,7,107,"Google"
"Greater London","Workplaces",2020-03-17,-29,71,"Google"
"Greater London","Residential",2020-03-17,12,112,"Google"
"Greater London","Workplaces",2020-03-18,-36,64,"Google"
"Greater London","Residential",2020-03-18,16,116,"Google"
"Greater London","Workplaces",2020-03-19,-41,59,"Google"
"Greater London","Residential",2020-03-19,18,118,"Google"
"Greater London","Workplaces",2020-03-20,-44,56,"Google"
"Greater London","Residential",2020-03-20,20,120,"Google"
"Greater London","Workplaces",2020-03-21,-34,66,"Google"
"Greater London","Residential",2020-03-21,15,115,"Google"
"Greater London","Workplaces",2020-03-22,-40,60,"Google"
"Greater London","Residential",2020-03-22,13,113,"Google"
"Greater London","Workplaces",2020-03-23,-60,40,"Google"
"Greater London","Residential",2020-03-23,25,125,"Google"
"Greater London","Workplaces",2020-03-24,-70,30,"Google"
"Greater London","Residential",2020-03-24,31,131,"Google"
"Greater London","Workplaces",2020-03-25,-73,27,"Google"
"Greater London","Residential",2020-03-25,33,133,"Google"
"Greater London","Workplaces",2020-03-26,-75,25,"Google"
"Greater London","Residential",2020-03-26,34,134,"Google"
"Greater London","Workplaces",2020-03-27,-75,25,"Google"
"Greater London","Residential",2020-03-27,35,135,"Google"
"Greater London","Workplaces",2020-03-28,-63,37,"Google"
"Greater London","Residential",2020-03-28,23,123,"Google"
"Greater London","Workplaces",2020-03-29,-62,38,"Google"
"Greater London","Residential",2020-03-29,19,119,"Google"
"Greater London","Workplaces",2020-03-30,-77,23,"Google"
"Greater London","Residential",2020-03-30,33,133,"Google"
"Greater London","Workplaces",2020-03-31,-78,22,"Google"
"Greater London","Residential",2020-03-31,34,134,"Google"
"Greater London","Workplaces",2020-04-01,-78,22,"Google"
"Greater London","Residential",2020-04-01,35,135,"Google"
"Greater London","Workplaces",2020-04-02,-78,22,"Google"
"Greater London","Residential",2020-04-02,36,136,"Google"
"Greater London","Workplaces",2020-04-03,-77,23,"Google"
"Greater London","Residential",2020-04-03,36,136,"Google"
"Greater London","Workplaces",2020-04-04,-63,37,"Google"
"Greater London","Residential",2020-04-04,23,123,"Google"
"Greater London","Workplaces",2020-04-05,-61,39,"Google"
"Greater London","Residential",2020-04-05,18,118,"Google"
"Greater London","Workplaces",2020-04-06,-77,23,"Google"
"Greater London","Residential",2020-04-06,33,133,"Google"
"Greater London","Workplaces",2020-04-07,-78,22,"Google"
"Greater London","Residential",2020-04-07,34,134,"Google"
"Greater London","Workplaces",2020-04-08,-78,22,"Google"
"Greater London","Residential",2020-04-08,34,134,"Google"
"Greater London","Workplaces",2020-04-09,-78,22,"Google"
"Greater London","Residential",2020-04-09,34,134,"Google"
"Greater London","Workplaces",2020-04-10,-85,15,"Google"
"Greater London","Residential",2020-04-10,38,138,"Google"
"Greater London","Workplaces",2020-04-11,-64,36,"Google"
"Greater London","Residential",2020-04-11,23,123,"Google"
"Greater London","Workplaces",2020-04-12,-64,36,"Google"
"Greater London","Residential",2020-04-12,19,119,"Google"
"Greater London","Workplaces",2020-04-13,-87,13,"Google"
"Greater London","Residential",2020-04-13,37,137,"Google"
"Greater London","Workplaces",2020-04-14,-77,23,"Google"
"Greater London","Residential",2020-04-14,33,133,"Google"
"Greater London","Workplaces",2020-04-15,-77,23,"Google"
"Greater London","Residential",2020-04-15,34,134,"Google"
"Greater London","Workplaces",2020-04-16,-76,24,"Google"
"Greater London","Residential",2020-04-16,34,134,"Google"
"Greater London","Workplaces",2020-04-17,-75,25,"Google"
"Greater London","Residential",2020-04-17,36,136,"Google"
"Greater London","Workplaces",2020-04-18,-59,41,"Google"
"Greater London","Residential",2020-04-18,23,123,"Google"
"Greater London","Workplaces",2020-04-19,-56,44,"Google"
"Greater London","Residential",2020-04-19,17,117,"Google"
"Greater London","Workplaces",2020-04-20,-75,25,"Google"
"Greater London","Residential",2020-04-20,32,132,"Google"
"Greater London","Workplaces",2020-04-21,-75,25,"Google"
"Greater London","Residential",2020-04-21,33,133,"Google"
"Greater London","Workplaces",2020-04-22,-74,26,"Google"
"Greater London","Residential",2020-04-22,33,133,"Google"
"Greater London","Workplaces",2020-04-23,-74,26,"Google"
"Greater London","Residential",2020-04-23,33,133,"Google"
"Greater London","Workplaces",2020-04-24,-73,27,"Google"
"Greater London","Residential",2020-04-24,34,134,"Google"
"Greater London","Workplaces",2020-04-25,-57,43,"Google"
"Greater London","Residential",2020-04-25,21,121,"Google"
"Greater London","Workplaces",2020-04-26,-54,46,"Google"
"Greater London","Residential",2020-04-26,16,116,"Google"
"Greater London","Workplaces",2020-04-27,-73,27,"Google"
"Greater London","Residential",2020-04-27,31,131,"Google"
"Greater London","Workplaces",2020-04-28,-75,25,"Google"
"Greater London","Residential",2020-04-28,32,132,"Google"
"Greater London","Workplaces",2020-04-29,-73,27,"Google"
"Greater London","Residential",2020-04-29,33,133,"Google"
"Greater London","Workplaces",2020-04-30,-74,26,"Google"
"Greater London","Residential",2020-04-30,34,134,"Google"
"Greater London","Workplaces",2020-05-01,-72,28,"Google"
"Greater London","Residential",2020-05-01,34,134,"Google"
"Greater London","Workplaces",2020-05-02,-54,46,"Google"
"Greater London","Residential",2020-05-02,20,120,"Google"
"Greater London","Workplaces",2020-05-03,-53,47,"Google"
"Greater London","Residential",2020-05-03,17,117,"Google"
"Greater London","Workplaces",2020-05-04,-72,28,"Google"
"Greater London","Residential",2020-05-04,30,130,"Google"
"Greater London","Workplaces",2020-05-05,-72,28,"Google"
"Greater London","Residential",2020-05-05,31,131,"Google"
"Greater London","Workplaces",2020-05-06,-71,29,"Google"
"Greater London","Residential",2020-05-06,31,131,"Google"
"Greater London","Workplaces",2020-05-07,-71,29,"Google"
"Greater London","Residential",2020-05-07,31,131,"Google"
"Greater London","Workplaces",2020-05-08,-81,19,"Google"
"Greater London","Residential",2020-05-08,35,135,"Google"
"Greater London","Workplaces",2020-05-09,-53,47,"Google"
"Greater London","Residential",2020-05-09,19,119,"Google"
"Greater London","Workplaces",2020-05-10,-51,49,"Google"
"Greater London","Residential",2020-05-10,17,117,"Google"
"Greater London","Workplaces",2020-05-11,-71,29,"Google"
"Greater London","Residential",2020-05-11,30,130,"Google"
"Greater London","Workplaces",2020-05-12,-70,30,"Google"
